Player,2026 Salary,2026 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Emily Engstler,277500,Reserved,40,0,12.8,3.7,1.3,3.4,39.6,0.9,1.8,52.1,0.4,1.6,25.4,0.6,0.9,66.7%,0.9,2.3,3.3,1.5,1.0,0.7,0.7,1.3
Zia Cooke,277500,Reserved,26,0,10.0,3.5,1.2,3.2,35.7,0.6,1.8,32.6,0.6,1.5,39.5,0.6,0.9,65.2%,0.2,0.3,0.5,0.5,0.8,0.4,0.0,1.0
Karlie Samuelson,360000,UFA,16,4,14.2,3.3,0.9,2.6,33.3,0.1,0.5,25.0,0.8,2.1,35.3,0.8,0.9,92.9%,0.2,1.1,1.3,1.1,0.7,0.4,0.1,1.6
Sarah Ashlee Barker,289133,Rookie,34,8,14.1,3.1,1.0,3.1,33.7,0.5,1.3,39.5,0.5,1.8,29.5,0.5,0.7,70.8%,0.3,1.6,1.9,0.9,1.1,0.3,0.1,1.3
Megan DiLeo,500000,UFA,20,1,11.3,3.0,1.0,2.9,35.1,0.4,0.9,38.9,0.7,2.0,33.3,0.4,0.8,46.7%,0.4,1.4,1.8,0.3,0.3,0.2,0.3,2.1
Stephanie Talbot,392500,UFA,38,10,14.2,2.9,1.0,2.7,37.5,0.6,1.3,47.9,0.4,1.5,28.6,0.5,0.7,64.3%,0.7,2.0,2.7,1.7,1.1,0.5,0.2,1.1
Julie Vanloo,38354,Hardship,35,2,12.8,2.8,0.9,3.2,29.7,0.2,0.5,42.1,0.7,2.6,27.2,0.2,0.3,80.0%,0.1,0.8,0.9,1.9,1.4,0.4,0.0,1.3
Liatu King,24817,UFA,14,0,9.7,2.7,0.9,1.9,48.1,0.9,1.5,57.1,0.1,0.4,16.7,0.8,1.1,73.3%,0.9,1.2,2.1,0.3,0.8,0.1,0.0,1.0
Makayla Timpson,277500,Rookie,31,0,7.1,2.6,1.0,1.8,56.1,1.0,1.8,56.1,0.0,0.0,--,0.6,0.9,66.7%,0.6,1.3,1.8,0.0,0.3,0.4,0.3,0.8
Sydney Colson,,UFA,30,6,13.5,2.4,0.9,2.5,34.2,0.4,1.0,44.8,0.4,1.6,27.7,0.2,0.2,85.7%,0.2,0.6,0.8,2.0,1.2,0.5,0.2,1.1
Alissa Pili,,UFA,19,0,5.2,2.3,0.7,1.5,46.4,0.5,0.8,56.3,0.2,0.6,33.3,0.7,0.8,86.7%,0.2,0.8,1.0,0.2,0.4,0.1,0.1,0.7
Lexie Brown,277500,UFA,24,0,9.4,2.1,0.7,2.0,35.4,0.3,0.5,63.6,0.4,1.5,27.0,0.3,0.4,70.0%,0.1,0.6,0.7,1.0,0.3,0.4,0.0,0.8
Haley Peters,,UFA,33,2,11.5,2.1,0.8,2.5,30.5,0.5,1.3,39.5,0.2,1.2,20.5,0.3,0.4,76.9%,0.8,1.5,2.2,0.8,0.7,0.3,0.1,1.5
Kaitlyn Chen,277500,Reserved,24,0,10.3,2.0,0.8,2.1,38.0,0.6,1.5,40.0,0.2,0.6,33.3,0.2,0.3,71.4%,0.2,0.7,0.9,1.0,0.8,0.2,0.0,0.7
Mercedes Russell,65427,UFA,20,0,8.2,1.7,0.6,1.4,44.4,0.6,1.4,44.4,0.0,0.0,--,0.5,0.7,71.4%,0.5,0.7,1.2,0.6,0.4,0.3,0.2,0.9
Anastasiia Olairi Kosu,277500,Rookie,21,0,3.8,1.7,0.6,1.4,44.8,0.6,1.3,48.1,0.0,0.1,0.0,0.4,0.7,60.0%,0.5,0.2,0.7,0.2,0.3,0.0,0.2,0.4
Rayah Marshall,31586,UFA,15,0,6.0,1.7,0.6,1.7,34.6,0.6,1.7,36.0,0.0,0.1,0.0,0.5,0.8,58.3%,0.5,1.3,1.7,0.3,0.5,0.1,0.2,0.8
Sika Kone,277500,Reserved,19,0,4.5,1.4,0.4,1.2,31.8,0.3,0.9,35.3,0.1,0.3,20.0,0.6,0.7,92.3%,0.2,0.8,1.0,0.3,0.3,0.0,0.0,0.6
Sania Feagin,101524,Rookie,16,0,4.8,1.3,0.6,1.8,35.7,0.6,1.5,41.7,0.0,0.3,0.0,0.0,0.1,0.0%,0.2,0.5,0.7,0.3,0.4,0.0,0.4,1.0
Joyner Holmes,40610,Hardship,6,0,4.8,1.2,0.5,2.0,25.0,0.3,1.2,28.6,0.2,0.8,20.0,0.0,0.0,--,0.3,0.7,1.0,0.0,0.3,0.0,0.0,0.8
Brianna Turner,277500,UFA,27,0,8.6,1.1,0.5,1.2,40.6,0.5,1.1,41.9,0.0,0.0,0.0,0.1,0.3,50.0%,0.7,1.2,1.9,0.6,0.3,0.1,0.3,0.9
Kiah Stokes,375000,UFA,40,18,12.9,1.1,0.5,1.3,35.3,0.4,0.7,53.6,0.1,0.6,13.0,0.1,0.2,62.5%,0.7,2.9,3.6,0.4,0.4,0.4,0.4,1.2
Kyara Linskens,277500,UFA,4,0,6.7,1.0,0.5,1.3,40.0,0.5,1.0,50.0,0.0,0.3,0.0,0.0,0.0,--,0.3,1.3,1.5,0.3,0.5,0.3,0.8,1.8
Mackenzie Holmes,277500,Reserved,10,0,5.8,1.0,0.5,0.7,71.4,0.5,0.7,71.4,0.0,0.0,--,0.0,0.0,--,0.3,0.6,0.9,0.2,0.0,0.5,0.1,0.7
Taylor Thierry,207561,Dev,17,0,2.1,0.4,0.1,0.6,18.2,0.1,0.5,12.5,0.1,0.2,33.3,0.1,0.2,25.0%,0.1,0.2,0.4,0.1,0.1,0.2,0.0,0.1
Kamiah Smalls,76707,UFA,3,0,1.1,0.0,0.0,0.0,--,0.0,0.0,--,0.0,0.0,--,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia Amoore,355058,Rookie,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Katie Lou Samuelson,420000,UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
