planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
HD 22496 b,1,Radial Velocity,2021,Published Confirmed,0,5.09071,0.051,,5.57,0.01752518,13.5956
HD 22532 b,1,Radial Velocity,2022,Published Confirmed,0,872.6,1.9,,673.79622284,2.12,161.183
HD 22781 b,1,Radial Velocity,2011,Published Confirmed,0,528.07,1.167,,4338.2,13.65,32.6034
HD 22946 d,1,Transit,2023,Published Confirmed,0,47.42489,0.2958,2.607,26.57,0.08359857,62.7792
HD 23079 b,1,Radial Velocity,2001,Published Confirmed,0,735.74,,,845.42356262,2.66,33.4591
HD 23079 c,1,Radial Velocity,2025,Published Confirmed,0,5.748913,,,8.26,0.02598887,33.4591
HD 23127 b,1,Radial Velocity,2006,Published Confirmed,0,1211.17,2.37,,485.32641,1.527,93.8555
HD 231701 b,1,Radial Velocity,2007,Published Confirmed,0,141.63,0.567,,359.1479,1.13,108.877
HD 233604 b,1,Radial Velocity,2013,Published Confirmed,0,192.0,0.747,,2089.644,6.575,847.058
HD 233832 b,1,Radial Velocity,2018,Published Confirmed,0,2058.0,2.827,,565.7374,1.78,58.742
HD 23472 b,1,Transit,2019,Published Confirmed,0,17.667087,0.1162,2.0,8.32,0.02617765,39.0341
HD 23472 c,1,Transit,2019,Published Confirmed,0,29.79749,0.1646,1.87,3.41,0.01072906,39.0341
HD 23472 d,1,Transit,2022,Published Confirmed,0,3.97664,0.04298,0.75,0.55,0.00173049,39.0341
HD 23472 e,1,Transit,2022,Published Confirmed,0,7.90754,0.068,0.818,0.72,0.00226537,39.0341
HD 23472 f,1,Transit,2022,Published Confirmed,0,12.1621839,0.0906,1.137,0.77,0.00242269,39.0341
HD 235088 b,1,Transit,2023,Published Confirmed,0,7.4341325,0.0706,1.982,4.15,0.01305736,41.1706
HD 23596 b,1,Radial Velocity,2003,Published Confirmed,0,1535.11912,2.694,,3786.607641,11.914,52.0018
HD 238090 b,1,Radial Velocity,2020,Published Confirmed,0,13.671,0.0932,,6.89,0.02167826,15.2354
HD 238914 b,1,Radial Velocity,2018,Published Confirmed,0,4100.0,5.7,,1906.98,6.0,519.452
HD 240210 b,1,Radial Velocity,2009,Published Confirmed,0,501.75,1.16,,1655.82,5.21,372.405
HD 240237 b,1,Radial Velocity,2011,Published Confirmed,0,745.70001,1.92,,5050.3187,15.89,933.377
HD 24040 b,1,Radial Velocity,2006,Published Confirmed,0,3668.0,4.92,,1226.8238,3.86,46.6224
HD 24040 c,1,Radial Velocity,2021,Published Confirmed,0,515.4,1.3,,63.88350981,0.201,46.6224
HD 24064 b,1,Radial Velocity,2015,Published Confirmed,0,535.59998,1.29,,4096.8287,12.89,300.247
HD 24085 b,1,Radial Velocity,2019,Published Confirmed,0,2.0455,0.034,,11.8,0.03712677,54.9004
HD 25015 b,1,Radial Velocity,2019,Published Confirmed,0,6134.427,6.248,,2884.92845034,9.077,37.433
HD 25171 b,1,Radial Velocity,2010,Published Confirmed,0,1802.29,2.971,,290.81445,0.915,55.6146
HD 25463 b,1,Transit,2023,Published Confirmed,0,7.0491423,0.076,2.54535814,8.7,0.02737326,45.6181
HD 25463 c,1,Transit,2023,Published Confirmed,0,3.04405,0.0443,1.36354953,4.3,0.01352931,45.6181
HD 25723 b,1,Radial Velocity,2020,Published Confirmed,0,457.01,1.49,,794.5710175,2.5,114.816
HD 25912 b,1,Radial Velocity,2022,Published Confirmed,0,41.83156,0.242,,38.13940884,0.12,49.1661
HD 25912 c,1,Radial Velocity,2022,Published Confirmed,0,26308.65619,17.848,,5252.75008249,16.527,49.1661
HD 260655 b,1,Transit,2022,Published Confirmed,0,2.76953,0.02933,1.24,2.14,0.00673319,10.0055
HD 260655 c,1,Transit,2022,Published Confirmed,0,5.70588,0.04749,1.533,3.09,0.00972223,10.0055
HD 26161 b,1,Radial Velocity,2021,Published Confirmed,0,10942.29013,10.087,,9045.39646322,28.46,40.9128
HD 2638 b,1,Radial Velocity,2005,Published Confirmed,0,3.4442,0.04,,133.4886,0.42,54.9621
HD 2685 b,1,Transit,2019,Published Confirmed,0,4.12688,0.0568,16.14096,371.8611,1.17,196.852
HD 27442 b,1,Radial Velocity,2000,Published Confirmed,0,428.1,1.271,,495.8,1.56,18.2704
HD 27631 b,1,Radial Velocity,2012,Published Confirmed,0,2198.14,3.242,,474.83802,1.494,50.2862
HD 27894 b,1,Radial Velocity,2005,Published Confirmed,0,18.01939,0.125,,196.73578393,0.619,43.8214
HD 27894 c,1,Radial Velocity,2017,Published Confirmed,0,36.07,0.198,,51.48846,0.162,43.8214
HD 27894 d,1,Radial Velocity,2017,Published Confirmed,0,5019.54244,5.362,,2063.65984665,6.493,43.8214
HD 27969 b,1,Radial Velocity,2021,Published Confirmed,0,654.5,1.552,,1525.5763536,4.8,67.9328
HD 28109 b,1,Transit,2022,Published Confirmed,0,22.891054,,2.69,6.2,0.01950738,139.611
HD 28109 c,1,Transit,2022,Published Confirmed,0,55.99712,,4.13,9.2,0.02894644,139.611
HD 28109 d,1,Transit,2022,Published Confirmed,0,84.2899,,3.11,5.8,0.01824884,139.611
HD 28185 b,1,Radial Velocity,2001,Published Confirmed,0,385.92,1.034,,1859.29618095,5.85,39.3809
HD 28185 c,1,Radial Velocity,2022,Published Confirmed,0,9090.0,8.5,,1906.970442,6.0,39.3809
HD 28192 b,1,Radial Velocity,2022,Published Confirmed,0,14.23283,0.118,,99.7981198,0.314,49.8063
HD 28254 b,1,Radial Velocity,2010,Published Confirmed,0,1333.0,2.45,,1207.7479466,3.8,55.2884
HD 284149 AB b,1,Imaging,2017,Published Confirmed,0,,431.16,,8352.53053596,26.28,117.807
HD 28471 b,1,Radial Velocity,2025,Published Confirmed,0,3.1649,0.042,,3.72,0.01170443,43.6455
HD 28471 c,1,Radial Velocity,2025,Published Confirmed,0,6.1245,0.065,,5.72,0.01799713,43.6455
HD 28471 d,1,Radial Velocity,2025,Published Confirmed,0,11.681,0.1,,4.91,0.01544859,43.6455
HD 285507 b,1,Radial Velocity,2013,Published Confirmed,0,6.0881,0.06,,311.4734,0.98,45.0293
HD 285968 b,1,Radial Velocity,2008,Published Confirmed,0,8.7836,0.066,,8.4,0.026,9.47045
HD 28678 b,1,Radial Velocity,2011,Published Confirmed,0,380.2,1.18,,490.09386,1.542,189.908
HD 29021 b,1,Radial Velocity,2017,Published Confirmed,0,1365.0,2.294,,1420.69297929,4.47,30.9939
HD 290327 b,1,Radial Velocity,2009,Published Confirmed,0,2443.0,3.43,,772.3269,2.43,56.433
HD 29399 b,1,Radial Velocity,2022,Published Confirmed,0,892.7,1.913,,498.99059899,1.57,44.1518
HD 2952 b,1,Radial Velocity,2013,Published Confirmed,0,312.08,1.117,,284.77425267,0.896,110.103
HD 29985 b,1,Radial Velocity,2022,Published Confirmed,0,20608.14049,13.39,,1739.47487151,5.473,31.2707
HD 30177 b,1,Radial Velocity,2002,Published Confirmed,0,2539.0,3.49,,2622.08435775,8.25,55.5867
HD 30177 c,1,Radial Velocity,2016,Published Confirmed,0,11320.0,9.9,,1484.25866069,4.67,55.5867
HD 30562 b,1,Radial Velocity,2009,Published Confirmed,0,1157.0,2.34,,387.7526,1.22,26.1597
HD 30669 b,1,Radial Velocity,2014,Published Confirmed,0,1684.0,2.69,,149.37,0.47,58.0844
HD 30856 b,1,Radial Velocity,2011,Published Confirmed,0,847.0,1.85,,491.68301,1.547,131.199
HD 31253 b,1,Radial Velocity,2010,Published Confirmed,0,466.0,1.26,,197.0546,0.62,58.1438
HD 31527 b,1,Radial Velocity,2019,Published Confirmed,0,16.5535,0.1254,,10.47,0.0329,38.4473
HD 31527 c,1,Radial Velocity,2019,Published Confirmed,0,51.2053,0.2663,,14.16,0.0445,38.4473
